what,kind,bundleId,bundleVersion,description,time
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706862624
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706866730
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706870427
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706877313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706877321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706878036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706878049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706878873
started,bundle,org.savara.tools.common,2.0.0.Final,"org.savara.tools.common",1389706881499
started,bundle,org.savara.tools.scenario,2.0.0.Final,"org.savara.tools.scenario",1389706881500
opened,editor,org.savara.tools.scenario,2.0.0.Final,"org.savara.tools.scenario.designer.ScenarioDesignerID",1389706881760
activated,editor,org.savara.tools.scenario,2.0.0.Final,"org.savara.tools.scenario.designer.ScenarioDesignerID",1389706881862
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706884963
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706919821
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706922884
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706931405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706931472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706932078
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706935476
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706937373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706938377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706938916
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706939355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389706940820
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389706943038
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706944226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389706953446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389706966914
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706979883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389706984914
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706985354
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389706992424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706992432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389706993808
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706994577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389706995706
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389706996831
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389706999656
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707007397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707008752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707009327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707009983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1389707014123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389707014234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707014655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707015482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707016193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707018300
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707020301
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707023245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707023333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707025141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707025987
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707026853
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707027623
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707029241
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707039537
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1389707040727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707041838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707044869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707045830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707046576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707047266
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707048080
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707049320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707049390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707049878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707050680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707053631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707054600
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707056015
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707057250
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707059483
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707061818
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707067997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707071037
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707072257
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707077330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1389707097493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389707097902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707101543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707107519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707108321
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707111519
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707112889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707112958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707118082
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707119476
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707121083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707121947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707126096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707127311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707127982
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707129579
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707130675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707130683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707131251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707132466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707133963
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707138923
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707142769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1389707149231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389707149374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707150218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707152466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707153469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707158092
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707159801
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707162193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707162200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707167748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707173445
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707176925
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707178963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707179632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389707183153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707184244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707185698
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707187626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707188259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707189187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707189953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707190549
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707191477
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707194440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707194520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707197161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707198889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707199541
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707200051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707200787
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707202079
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707203038
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707205547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707206685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707208317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707209907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707210578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707211536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707213042
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707214059
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707215068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707215137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707216500
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707217241
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389707218189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707218272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389707219286
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707219835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707220730
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707221246
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707227150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389707234602
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707236226
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707236420
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707237884
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707238054
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707239420
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707239610
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707240743
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707240918
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707241505
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707241680
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389707242255
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389707242454
